Ranking,Nombre,Año,Duración,Edad
1,Cadena perpetua,1994,2h 22m,13
2,El padrino,1972,2h 55m,18
3,El caballero oscuro,2008,2h 32m,13
4,El padrino parte II,1974,3h 22m,18
5,12 hombres sin piedad,1957,1h 36m,A
6,El señor de los anillos: El retorno del rey,2003,3h 21m,13
7,La lista de Schindler,1993,3h 15m,13
8,Pulp Fiction,1994,2h 34m,18
9,El señor de los anillos: La comunidad del anillo,2001,2h 58m,12
10,"El bueno, el feo y el malo",1966,3h 2m,14
11,Forrest Gump,1994,2h 22m,A
12,El señor de los anillos: Las dos torres,2002,2h 59m,13
13,El club de la lucha,1999,2h 19m,18
14,Origen,2010,2h 28m,12
15,El imperio contraataca,1980,2h 4m,A
16,Matrix,1999,2h 16m,18
17,Uno de los nuestros,1990,2h 25m,18
18,Interstellar,2014,2h 49m,12
19,Alguien voló sobre el nido del cuco,1975,2h 13m,18
20,Seven,1995,2h 7m,18
21,Qué bello es vivir,1946,2h 10m,A
22,El silencio de los corderos,1991,1h 58m,18
23,Los siete samuráis,1954,3h 27m,A
24,Salvar al soldado Ryan,1998,2h 49m,13
25,Ciudad de Dios,2002,2h 10m,18
